port_id,port_name,country_code,water_body,latitude,longitude
7950,Maurer,United States,North Atlantic Ocean,40.533333,-74.25
52235,Mangkasa Oil Terminal,Indonesia,Teluk Bone; Banda Sea; South Pacific Ocean,-2.733333,121.066667
47620,Iharana,Madagascar,Indian Ocean,-13.35,50
47360,Andoany,Madagascar,Mozambique Channel; Indian Ocean,-13.4,48.3
47020,Chake Chake,Tanzania,Indian Ocean,-5.25,39.766667
47005,Mjimwema Terminal,Tanzania,Indian Ocean,-6.816667,39.366667
57245,Forari Bay,Vanuatu,South Pacific Ocean,-17.683333,168.55
56820,Kokopo,Papua New Guinea,Bismarck Sea; South Pacific Ocean,-4.333333,152.266667
56710,Longan Island,Papua New Guinea,South Pacific Ocean,-1.216667,144.3
56660,Malakal Harbor,Palau,North Pacific Ocean,7.333333,134.45
56630,Colonia,Federated States of Micronesia,North Pacific Ocean,9.516667,138.133333
56600,Moen,Federated States of Micronesia,North Pacific Ocean,7.433333,151.833333
56570,Lele Harbor,Federated States of Micronesia,North Pacific Ocean,5.333333,163.033333
44804,Delta Terminal,Turkey,Mediterranean Sea; North Atlantic Ocean,36.85,36.166667
50350,Cinta Oil Terminal,Indonesia,"Indian Ocean, Java Sea; South Pacific Ocean",-5.5,106.233333
4000,Port Severn,Canada,Lake Huron; Great Lakes,44.8,-79.716667
38330,Europa Point,Gibraltar,Strait of Gibraltar; North Atlantic Ocean,36.133333,-5.35
56945,Queen Carola Harbor,Papua New Guinea,Solomon Sea; South Pacific Ocean,-5.166667,154.55
7010,New Harbor,United States,North Atlantic Ocean,43.866667,-69.483333
5980,Little Bras D Or,Canada,North Atlantic Ocean,46.25,-60.3
53020,Tg. Sorong,Indonesia,South Pacific Ocean,-0.883333,131.233333
4950,Depere,United States,Lake Michigan; Great Lakes,44.45,-88.066667
4630,Leland,United States,Lake Michigan; Great Lakes,45.016667,-85.766667
20940,Bredvik,Norway,Norwegian Sea; North Atlantic Ocean,70.583333,22.133333
19880,Lazy Bay,United States,North Pacific Ocean,56.9,-154.25
12900,Dtse / Gegua Oil Terminal,Brazil,South Atlantic Ocean,-22.816667,-43.15
48104,Sharmah,Saudi Arabia,Red Sea; Indian Ocean,27.933333,35.25
9210,Norsworthy,United States,Gulf of Mexico; North Atlantic Ocean,29.733333,-95.2
8400,Bayboro,United States,North Atlantic Ocean,35.15,-76.766667
4240,Hilton,Canada,Lake Huron; Great Lakes,46.25,-83.883333
4160,Kagawong,Canada,Lake Huron; Great Lakes,45.916667,-82.25
3130,Chaumont,United States,Lake Ontario; Great Lakes,44.066667,-76.133333
20000,Kanatak,United States,North Pacific Ocean,57.566667,-156.033333
5520,Douglastown,Canada,Gulf of Saint Lawrence; North Atlantic Ocean,48.766667,-64.383333
28615,Lielupe,Latvia,Gulf of Riga; Baltic Sea; North Atlantic Ocean,57,23.433333
19630,Katalla,United States,Gulf of Alaska; North Pacific Ocean,60.2,-144.533333
6750,Minturn,United States,North Atlantic Ocean,44.15,-68.45
6820,Criehaven,United States,North Atlantic Ocean,43.833333,-68.883333
29800,Aeroskobing,Denmark,Baltic Sea; North Atlantic Ocean,54.883333,10.416667
43950,Kyrylivka,Ukraine,Sea of Azov; Black Sea; North Atlantic Ocean,46.35,35.366667
46691,North Point,"Saint Helena, Ascension, and Tristan da Cunha",South Atlantic Ocean,-7.883333,-14.366667
57433,Bongkot Terminal,Thailand,Gulf of Thailand; South China Sea; North Pacific Ocean,8.05,102.333333
52350,Donggala,Indonesia,Makassar Strait; South Pacific Ocean,-0.65,119.733333
3790,Lions Head,Canada,Lake Huron; Great Lakes,44.983333,-81.25
4150,Honora,Canada,Lake Huron; Great Lakes,45.866667,-82.166667
23300,Meling,Norway,North Sea; North Atlantic Ocean,59.783333,5.116667
23107,Bud,Norway,Norwegian Sea; North Atlantic Ocean,62.9,6.916667
23455,Espevaer,Norway,North Sea; North Atlantic Ocean,59.583333,5.15
19970,Bear Island,United States,Gulf of Alaska; North Pacific Ocean,58.45,-152.683333
20270,Koggiung,United States,Bristol Bay; Bering Sea; North Pacific Ocean,58.966667,-156.916667
20350,Hamilton,United States,Bering Sea; North Pacific Ocean,62.9,-163.916667
5150,Gargantua,Canada,Lake Superior; Great Lakes,47.566667,-84.966667
42415,Larimna,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,38.566667,23.283333
31895,Bird Port,United Kingdom,Bristol Channel; North Atlantic Ocean,51.566667,-2.966667
38420,Hornillo,Spain,Mediterranean Sea; North Atlantic Ocean,37.4,-1.55
40245,Melilli Oil Terminal,Italy,Mediterranean Sea; North Atlantic Ocean,37.116667,15.25
43940,Henichesk,Ukraine,Sea of Azov; Black Sea; North Atlantic Ocean,46.166667,34.816667
48464,Barkan Oil-loading Terminal,Iran,Persian Gulf; Indian Ocean,29.733333,50.166667
55500,Kingston,Norfolk Island,South Pacific Ocean,-29.066667,167.95
51290,Labuhanhaji,Indonesia,Indian Ocean,-8.7,116.566667
57415,Kirteh Oil Terminal,Malaysia,South China Sea; North Pacific Ocean,4.566667,103.466667
47942,Al Khair Oil Terminal,Sudan,Red Sea; Indian Ocean,19.583333,37.25
18915,Bella Bella,Canada,Alaska-Canada coastal waters; North Pacific Ocean,52.166667,-128.15
19290,Fishermans Harbor,United States,Alaska-Canada coastal waters; North Pacific Ocean,55.966667,-133.8
5970,Grand Narrows,Canada,North Atlantic Ocean,45.95,-60.783333
6670,Corea,United States,North Atlantic Ocean,44.4,-67.966667
7315,Hyannis Port,United States,North Atlantic Ocean,41.633333,-70.3
58630,Laoang,Philippines,Philippine inland seas; North Pacific Ocean,12.566667,125.016667
59550,Margosatubig,Philippines,Celebes Sea; North Pacific Ocean,7.583333,123.166667
60720,Bukhta Gaydamak,Russia,Sea of Japan; North Pacific Ocean,42.866667,132.683333
4720,Saugatuck,United States,Lake Michigan; Great Lakes,42.666667,-86.2
19930,Dry Spruce Bay,United States,Gulf of Alaska; North Pacific Ocean,57.933333,-153.033333
19980,Hogg Island,United States,Gulf of Alaska; North Pacific Ocean,58.466667,-152.683333
20410,Grantley Harbor,United States,Bering Sea; North Pacific Ocean,65.266667,-166.333333
5070,Nahma,United States,Lake Michigan; Great Lakes,45.833333,-86.666667
44270,Adler,Russia,Black Sea; North Atlantic Ocean,43.433333,39.933333
45635,Arzew El Djedid,Algeria,Mediterranean Sea; North Atlantic Ocean,35.816667,-0.25
45822,Karabane,Senegal,North Atlantic Ocean,12.566667,-16.666667
46335,Ceiba Terminal,Equatorial Guinea,Gulf of Guinea; North Atlantic Ocean,1.416667,9.233333
46710,Edinburgh Of The Seven Seas,"Saint Helena, Ascension, and Tristan da Cunha",South Atlantic Ocean,-37.05,-12.3
14175,Caleta Mina Elena,Chile,South Pacific Ocean,-52.683333,-71.9
19100,Hidden Inlet,United States,Alaska-Canada coastal waters; North Pacific Ocean,54.95,-130.333333
19120,George Inlet,United States,Alaska-Canada coastal waters; North Pacific Ocean,55.383333,-131.466667
19200,Burnett Inlet,United States,Alaska-Canada coastal waters; North Pacific Ocean,56.066667,-132.466667
19600,Letnikof Cove,United States,Alaska-Canada coastal waters; North Pacific Ocean,59.183333,-135.4
19710,Crab Bay,United States,Gulf of Alaska; North Pacific Ocean,60.066667,-148
6970,Monhegan,United States,North Atlantic Ocean,43.766667,-69.316667
6710,Northeast Harbor,United States,North Atlantic Ocean,44.3,-68.283333
6800,Bucks Harbor,United States,North Atlantic Ocean,44.333333,-68.733333
6830,Matinicus,United States,North Atlantic Ocean,43.866667,-68.883333
43780,Balaklava,Ukraine,Black Sea; North Atlantic Ocean,44.5,33.6
43810,Alushta,Ukraine,Black Sea; North Atlantic Ocean,44.683333,34.416667
49460,Machilipatnam,India,Bay of Bengal; Indian Ocean,16.15,81.166667
49875,Malong Marine Terminal,Malaysia,South China Sea; North Pacific Ocean,4.633333,104.816667
63090,Admiralty Bay,Antarctica,Bransfield Strait; Drake Passage; South Atlantic Ocean,-62.083333,-58.416667
63110,Melchior Harbor,Antarctica,South Pacific Ocean,-64.316667,-63
7900,Grasselli,United States,North Atlantic Ocean,40.616667,-74.2
543,Kusanartoq,Greenland,North Atlantic Ocean,61.766667,-42.216667
2350,Carillon,Canada,Lake Ontario; Great Lakes,45.566667,-74.366667
4020,Depot Harbour,Canada,Lake Huron; Great Lakes,45.316667,-80.1
44807,Aksaz Limani,Turkey,Mediterranean Sea; North Atlantic Ocean,36.833333,28.383333
46239,Egina Oil Terminal,Nigeria,Gulf of Guinea; North Atlantic Ocean,3.066667,6.7
46452,Olowi Marine Terminal,Gabon,South Atlantic Ocean,-3.133333,10.216667
47625,Antsohim Bondrona,Madagascar,Mozambique Channel; Indian Ocean,-13.083333,48.833333
51780,Lingkas,Indonesia,Celebes Sea; North Pacific Ocean,3.283333,117.6
53195,Discovery Bay,Papua New Guinea,Solomon Sea; South Pacific Ocean,-10.416667,150.416667
55270,Collingwood,New Zealand,Tasman Sea; South Pacific Ocean,-40.683333,172.666667
56039,English Harbor,Kiribati,North Pacific Ocean,3.85,-159.366667
26990,Gumbodahamn,Sweden,Gulf of Bothnia; Baltic Sea; North Atlantic Ocean,64.233333,21.1
42180,Ayios Nikolaos,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,37.983333,23.533333
43093,Akra Kavonisi,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,35.516667,23.633333
43384,Borusan Fertilizer Jetty,Turkey,Sea of Marmara; Mediterranean Sea; North Atlantic Ocean,40.416667,29.1
60030,Ankingcheng,China,East China Sea; North Pacific Ocean,30.516667,117.033333
60350,Cheju Hang,South Korea,Yellow Sea; North Pacific Ocean,33.516667,126.533333
61110,Mombetsu Ko,Japan,Sea of Okhotsk; North Pacific Ocean,44.35,143.35
63070,Ellefsen Harbor,Antarctica,Scotia Sea; South Atlantic Ocean,-60.733333,-45.033333
63120,Andersen Harbor,Antarctica,South Pacific Ocean,-64.316667,-62.933333
19750,Latouche,United States,Gulf of Alaska; North Pacific Ocean,60.0505,-147.9042
11360,Baie Du Marigot,France,Caribbean Sea; North Atlantic Ocean,18.066667,-63.083333
11372,Coles Bay Oil Terminal,Sint Maarten,Caribbean Sea; North Atlantic Ocean,18.016667,-63.083333
48057,Zafarana Terminal,Egypt,Gulf of Suez; Red Sea; Indian Ocean,29.166667,32.683333
60205,Suizhang Gang,China,Bo Hai; Yellow Sea; North Pacific Ocean,40.066667,121.05
55960,Port Rikitea,French Polynesia,South Pacific Ocean,-23.116667,-134.966667
57900,Su-Ao,Taiwan,East China Sea; North Pacific Ocean,24.6,121.866667
60870,Vitaz Marine Terminal,Russia,Sea of Okhotsk; North Pacific Ocean,52.7,143.55
60010,Wu Hu,China,East China Sea; North Pacific Ocean,31.333333,118.366667
49685,Yetagun Marine Terminal,Burma,Andaman Sea; Indian Ocean,13.05,96.85
48272,Sharjah Offshore Terminal,United Arab Emirates,Persian Gulf; Indian Ocean,25.583333,55.4
47989,Zeit Bay Lpg Terminal,Egypt,Gulf of Suez; Red Sea; Indian Ocean,27.8,33.566667
51800,Tanjungredeb,Indonesia,Celebes Sea; North Pacific Ocean,2.15,117.483333
59575,Santa Clara,Philippines,Celebes Sea; North Pacific Ocean,7.783333,122.683333
11048,Punta Nizao Oil Terminal,Dominican Republic,Caribbean Sea; North Atlantic Ocean,18.2,-70.2
57490,Phsar Ream,Cambodia,Gulf of Thailand; South China Sea; North Pacific Ocean,10.5,103.6
50231,Ramba,Indonesia,Natuna Sea; South China Sea; South Pacific Ocean,-2.616667,104.133333
56330,Wake Island,Wake Island,North Pacific Ocean,19.283333,166.616667
61090,Shakotan,Russia,North Pacific Ocean,43.866667,146.833333
50932,Tanjung Gerem,Indonesia,"Indian Ocean, Java Sea; South Pacific Ocean",-5.966667,105.983333
51680,Victoria,Malaysia,South China Sea; North Pacific Ocean,5.283333,115.233333
48341,Ras Al Ghar,Saudi Arabia,Persian Gulf; Indian Ocean,26.9,49.866667
7890,Port Socony,United States,North Atlantic Ocean,40.55,-74.25
8890,Tri-City Port,United States,Lake Michigan; Great Lakes,38.716667,-90.2
11005,Puerto Botado,Dominican Republic,North Atlantic Ocean,19.2,-69.45
63100,Port Lockroy,Antarctica,South Pacific Ocean,-64.816667,-63.5
51500,Tarempah,Indonesia,South China Sea; North Pacific Ocean,3.216667,106.216667
52440,Tahuna,Indonesia,Celebes Sea; North Pacific Ocean,3.616667,125.483333
57472,Petchburi Terminal,Thailand,Gulf of Thailand; South China Sea; North Pacific Ocean,13.166667,100.15
63080,Scotia Bay,Antarctica,Scotia Sea; South Atlantic Ocean,-60.75,-44.716667
19589,Tanani Point,United States,Alaska-Canada coastal waters; North Pacific Ocean,59.283333,-135.45
33470,Rothesay Dock,United Kingdom,North Atlantic Ocean,55.9,-4.4
12650,Porto De Mucuripe,Brazil,South Atlantic Ocean,-3.716667,-38.483333
4130,Sheguiandah,Canada,Lake Huron; Great Lakes,45.9,-81.916667
19807,Snug Harbor,United States,Cook Inlet; Gulf of Alaska; North Pacific Ocean,60.1,-152.583333
47690,Port Est,Reunion,Indian Ocean,-20.933333,55.316667
28715,Port Polnochny,Poland,Baltic Sea; North Atlantic Ocean,54.4,18.716667
42790,Vrakhonisis Kallonis,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,39.083333,26.083333
45515,Port Methanier,Algeria,Mediterranean Sea; North Atlantic Ocean,36.883333,6.95
19950,Port Vita,United States,Gulf of Alaska; North Pacific Ocean,58.066667,-153.066667
19830,Womens Bay,United States,Gulf of Alaska; North Pacific Ocean,57.716667,-152.516667
542,Qutdleq,Greenland,North Atlantic Ocean,61.516667,-42.216667
14090,Puerto Sara,Chile,South Pacific Ocean,-52.633333,-70.2
9665,Puerto Este,Honduras,Caribbean Sea; North Atlantic Ocean,16.083333,-86.9
6650,Wyman,United States,North Atlantic Ocean,44.516667,-67.866667
12820,Portocel,Brazil,South Atlantic Ocean,-19.85,-40.05
35835,Port Du Havre-Antifer,France,English Channel; North Atlantic Ocean,49.65,0.15
26280,Ulvvik,Sweden,Gulf of Bothnia; Baltic Sea; North Atlantic Ocean,62.666667,17.866667
7020,Pemaquid Beach,United States,North Atlantic Ocean,43.866667,-69.533333
3950,Tiffin,Canada,Lake Huron; Great Lakes,44.75,-79.85
40750,Porto Di Malamocco,Italy,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,45.333333,12.316667
4380,Port Hope,United States,Lake Huron; Great Lakes,43.95,-82.7
3960,Port Mcnicoll,Canada,Lake Huron; Great Lakes,44.75,-79.8
3150,Sackets Harbor,United States,Lake Ontario; Great Lakes,43.95,-76.116667
46544,Psvm Terminal,Angola,South Atlantic Ocean,-6.25,10.733333
12857,Santa Clara,Brazil,South Atlantic Ocean,-20.883333,-51.366667
4270,Richards Landing,Canada,Lake Huron; Great Lakes,46.3,-84.033333
19180,Yes Bay,United States,Alaska-Canada coastal waters; North Pacific Ocean,55.916667,-131.8
47695,Port Ouest,Reunion,Indian Ocean,-20.933333,55.283333
9230,Sinco,United States,Gulf of Mexico; North Atlantic Ocean,29.716667,-95.233333
14020,Prince Olav Harbor,South Georgia and South Sandwich Islands,South Atlantic Ocean,-54.033333,-37.15
43835,Sudak,Ukraine,Black Sea; North Atlantic Ocean,44.85,34.983333
5170,Quebec Harbour,Canada,Lake Superior; Great Lakes,47.7,-85.8
19490,Todd,United States,Alaska-Canada coastal waters; North Pacific Ocean,57.466667,-135.05
19730,Port Ashton,United States,Gulf of Alaska; North Pacific Ocean,60.066667,-148.05
3980,Waubaushene,Canada,Lake Huron; Great Lakes,44.766667,-79.716667
4480,Rockport,United States,Lake Huron; Great Lakes,45.2,-83.383333
19585,Port Chilkoot,United States,Alaska-Canada coastal waters; North Pacific Ocean,59.233333,-135.433333
7070,Robinhood,United States,North Atlantic Ocean,43.85,-69.733333
6980,Port Clyde,United States,North Atlantic Ocean,43.916667,-69.25
42440,Stilis,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,38.916667,22.616667
42205,Pakhi Oil Terminal,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,37.966667,23.383333
19870,Trap Point,United States,North Pacific Ocean,57,-154.15
5110,Port Inland,United States,Lake Michigan; Great Lakes,45.966667,-85.866667
19650,Shepard Point,United States,Gulf of Alaska; North Pacific Ocean,60.633333,-145.666667
4580,St. James Harbor,United States,Lake Michigan; Great Lakes,45.733333,-85.516667
14040,Stromness Harbor,South Georgia and South Sandwich Islands,South Atlantic Ocean,-54.15,-36.7
19840,Port Hobron,United States,North Pacific Ocean,57.166667,-153.166667
4540,St Ignace,United States,Lake Huron; Great Lakes,45.85,-84.716667
3610,Rouge River,United States,Lake Erie; Great Lakes,42.283333,-83.116667
45845,Victoria,Guinea,North Atlantic Ocean,10.816667,-14.566667
19190,Union Bay,United States,Alaska-Canada coastal waters; North Pacific Ocean,55.766667,-132.216667
3340,Pelee I West Dock,Canada,Lake Erie; Great Lakes,41.766667,-82.683333
