date,country,city,temperature_celsius,humidity,wind_kph,precip_mm
2024-05-16,Timor-Leste,Dili,28.0,77.0,14.4,0.03
2024-05-17,Slovakia,Bratislava,13.0,94.0,15.1,0.41
2024-05-19,Slovenia,Ljubljana,22.0,69.0,9.0,0.0
2024-05-20,Mauritius,Port Louis,24.0,74.0,6.1,0.0
2024-05-21,India,New Delhi,38.0,29.0,11.2,0.0
2024-05-26,Liberia,Monrovia,28.0,84.0,6.8,0.54
2024-05-27,New Zealand,Wellington,10.0,71.0,16.9,0.0
2024-05-26,Uganda,Kampala,27.0,66.0,15.1,0.03
2024-05-28,Azerbaijan,Baku,25.0,41.0,19.1,0.0
2024-05-31,Paraguay,Carreria,26.4,34.0,10.4,0.0
2024-06-01,Bhutan,Thimphu,11.0,92.0,3.6,0.05
2024-06-02,Fiji Islands,Suva,24.0,89.0,13.0,0.25
2024-06-01,Saint Lucia,Castries,31.0,75.0,28.1,0.19
2024-06-05,Mali,Bamako,38.0,38.0,13.0,0.0
2024-06-05,Singapore,Singapore,30.0,79.0,13.0,0.0
2024-06-05,Spain,Madrid,33.0,20.0,9.0,0.0
2024-06-07,Papua New Guinea,Port Moresby,26.0,89.0,9.0,0.02
2024-06-08,Ecuador,Quito,15.3,63.0,6.1,0.0
2024-06-12,Andorra,Andorra La Vella,5.9,95.0,7.6,0.72
2024-06-13,Nepal,Kathmandu,27.2,66.0,15.1,0.0
2024-06-14,Madagascar,Antananarivo,22.3,46.0,6.8,0.0
2024-06-15,Indonesia,Laos,20.0,92.0,3.6,0.0
2024-06-16,Ecuador,Quito,10.9,82.0,3.6,0.01
2024-06-16,Mongolia,Ulaanbaatar,25.1,24.0,3.6,0.0
2024-06-17,Monaco,Monaco,23.2,69.0,22.0,0.0
2024-06-17,Russia,Moscow,24.1,78.0,15.1,1.25
2024-06-18,Sweden,Stockholm,18.0,56.0,15.1,0.01
2024-06-19,Bangladesh,Dhaka,26.1,81.0,16.6,0.0
2024-06-19,Kazakhstan,Astana,22.6,34.0,3.6,0.0
2024-06-20,Tajikistan,Dushanbe,20.4,52.0,3.6,0.14
2024-06-24,Gambia,Banjul,32.4,63.0,15.1,0.0
2024-06-25,Kosovo,Pristina,29.3,42.0,9.4,0.27
2024-06-25,Senegal,Dakar,24.8,73.0,11.5,0.0
2024-06-25,Slovakia,Bratislava,27.6,50.0,14.0,0.0
